iter	Passed	Remaining
0	152	10074411	164	5409722	175	384993	179	29483
4	190	24980
5	200	21874
6	211	19720
7	214	17453
8	226	16364
9	237	15421
10	247	14578
11	256	13828
12	266	13262
13	276	12780
14	286	12330
15	292	11786
16	299	11330
17	306	10927
18	313	10566
19	320	10253220	327	9954221	333	968022	333	9226
